Food,Carbs,Calories,Protein,Fat
"Soymilk (all flavors), unsweetened, with added calcium, vitamins A and D",1.74,85.5,2.86,1.61
"Soymilk, chocolate and other flavors, light, with added calcium, vitamins A and D",8.24,122.0,2.1,0.64
"Soymilk, chocolate, nonfat, with added calcium, vitamins A and D",8.51,114.0,2.47,0.04
"Soymilk, chocolate, unfortified",9.95,162.5,2.26,1.53
"Soymilk, chocolate, with added calcium, vitamins A and D",9.95,162.5,2.26,1.53
"Soymilk, original and vanilla, light, unsweetened, with added calcium, vitamins A and D",3.85,87.0,2.62,0.85
"Soymilk, original and vanilla, light, with added calcium, vitamins A and D",3.51,78.0,2.38,0.77
"Soymilk, original and vanilla, unfortified",6.28,140.0,3.27,1.75
"Soymilk, original and vanilla, with added calcium, vitamins A and D",4.92,112.0,2.6,1.47
"Spaghetti with meat sauce, frozen entree",15.24,233.5,5.05,1.01
"Spaghetti, protein-fortified, cooked, enriched (n x 6.25)",30.88,425.0,8.86,0.21
"Spaghetti, protein-fortified, dry, enriched (n x 6.25)",65.65,969.5,21.78,2.23
"Spaghetti, spinach, cooked",26.15,337.0,4.58,0.63
"Spaghetti, spinach, dry",74.81,964.0,13.35,1.57
"Spaghetti, with meatballs in tomato sauce, canned",11.45,260.0,4.37,4.11
"Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)",22.74,325.0,3.27,2.38
"Spanish rice mix, dry mix, unprepared",76.45,940.5,10.62,1.62
"Spearmint, dried",52.04,738.5,19.93,6.03
"Spearmint, fresh",8.41,114.0,3.29,0.73
"Spelt, cooked",26.44,328.5,5.5,0.85
"Spelt, uncooked",70.19,876.0,14.57,2.43
"Spices, allspice, ground",72.12,681.0,6.09,8.69
"Spices, anise seed",50.02,874.0,17.6,15.9
"Spices, basil, dried",47.75,604.5,22.98,4.07
"Spices, bay leaf",74.97,812.5,7.61,8.36
"Spices, caraway seed",49.9,863.0,19.77,14.59
"Spices, cardamom",68.47,807.0,10.76,6.7
"Spices, celery seed",41.35,1016.5,18.07,25.27
"Spices, chervil, dried",49.1,613.5,23.2,3.9
"Spices, chili powder",49.7,730.5,13.46,14.28
"Spices, cinnamon, ground",80.59,641.0,3.99,1.24
"Spices, cloves, ground",65.53,709.5,5.97,13.0
"Spices, coriander leaf, dried",52.1,723.0,21.93,4.78
"Spices, coriander seed",54.99,771.5,12.37,17.77
"Spices, cumin seed",44.24,971.0,17.81,22.27
"Spices, curry powder",55.83,842.0,14.29,14.01
"Spices, dill seed",55.17,790.5,15.98,14.54
"Spices, dill weed, dried",55.82,656.0,19.96,4.36
"Spices, fennel seed",52.29,894.0,15.8,14.87
"Spices, fenugreek seed",58.35,837.5,23.0,6.41
"Spices, garlic powder",72.73,858.5,16.55,0.73
"Spices, ginger, ground",71.62,869.5,8.98,4.24
"Spices, mace, ground",50.5,1232.0,6.71,32.38
"Spices, marjoram, dried",60.56,703.5,12.66,7.04
"Spices, mustard seed, ground",28.09,1317.0,26.08,36.24
"Spices, nutmeg, ground",49.29,1360.5,5.84,36.31
"Spices, onion powder",79.12,885.0,10.41,1.04
"Spices, oregano, dried",68.92,686.0,9.0,4.28
"Spices, paprika",53.99,731.5,14.14,12.89
"Spices, parsley, dried",50.64,756.0,26.63,5.48
"Spices, pepper, black",63.95,650.5,10.39,3.26
"Spices, pepper, red or cayenne",56.63,824.5,12.01,17.27
"Spices, pepper, white",68.61,767.0,10.4,2.12
"Spices, poppy seed",28.13,1360.5,17.99,41.56
"Spices, poultry seasoning",65.59,795.5,9.59,7.53
"Spices, pumpkin pie spice",69.28,886.5,5.76,12.6
"Spices, rosemary, dried",64.06,859.0,4.88,15.22
"Spices, saffron",65.37,804.0,11.43,5.85
"Spices, sage, ground",60.73,816.0,10.63,12.75
"Spices, savory, ground",68.73,705.0,6.73,5.91
"Spices, tarragon, dried",50.22,765.5,22.77,7.24
"Spices, thyme, dried",63.94,716.0,9.11,7.43
"Spices, turmeric, ground",67.14,808.5,9.68,3.25
Spinach souffle,5.9,445.5,7.89,12.95
"Spinach, canned, no salt added, solids and liquids",2.92,49.0,2.11,0.37
"Spinach, canned, regular pack, drained solids",3.4,59.5,2.81,0.5
"Spinach, canned, regular pack, solids and liquids",2.92,49.0,2.11,0.37
"Spinach, cooked, boiled, drained, with salt",3.75,59.5,2.97,0.26
"Spinach, cooked, boiled, drained, without salt",3.75,59.5,2.97,0.26
"Spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt",4.8,88.5,4.01,0.87
"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",4.8,88.5,4.01,0.87
"Spinach, frozen, chopped or leaf, unprepared (Includes foods for USDA's Food Distribution Program)",4.21,74.5,3.63,0.57
"Spinach, raw",3.63,60.0,2.86,0.39
"Split pea soup, canned, reduced sodium, prepared with water or ready-to serve",11.83,184.0,3.85,0.92
"Split pea with ham soup, canned, reduced sodium, prepared with water or ready-to-serve",11.4,176.5,4.0,0.7
"Squab, (pigeon), light meat without skin, raw",0.0,347.5,21.76,4.52
"Squab, (pigeon), meat and skin, raw",0.0,762.0,18.47,23.8
"Squab, (pigeon), meat only, raw",0.0,368.0,17.5,7.5
"Squash, Indian, cooked, boiled (Navajo)",3.22,40.5,0.31,0.15
"Squash, Indian, raw (Navajo)",5.64,68.5,0.52,0.2
"Squash, summer, all varieties, cooked, boiled, drained, with salt",4.31,52.0,0.91,0.31
"Squash, summer, all varieties, cooked, boiled, drained, without salt",4.31,52.0,0.91,0.31
"Squash, summer, all varieties, raw",3.35,42.5,1.21,0.18
"Squash, summer, crookneck and straightneck, canned, drained, solid, without salt",2.96,33.5,0.61,0.07
"Squash, summer, crookneck and straightneck, cooked, boiled, drained, with salt",3.79,50.0,1.04,0.39
"Squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt",3.79,50.0,1.04,0.39
"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, with salt",5.54,65.0,1.28,0.2
"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",5.54,65.0,1.28,0.2
"Squash, summer, crookneck and straightneck, frozen, unprepared",4.8,52.0,0.83,0.14
"Squash, summer, crookneck and straightneck, raw",3.88,48.5,1.01,0.27
"Squash, summer, scallop, cooked, boiled, drained, with salt",3.3,41.5,1.03,0.17
"Squash, summer, scallop, cooked, boiled, drained, without salt",3.3,41.5,1.03,0.17
"Squash, summer, scallop, raw",3.84,46.5,1.2,0.2
"Squash, summer, zucchini, includes skin, cooked, boiled, drained, with salt",2.69,39.5,1.14,0.36
"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",2.69,39.5,1.14,0.36
"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, with salt",2.97,37.5,1.15,0.13
"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",3.56,44.0,1.15,0.13
"Squash, summer, zucchini, includes skin, frozen, unprepared",3.58,43.5,1.16,0.13
"Squash, summer, zucchini, includes skin, raw",3.11,43.5,1.21,0.32
"Squash, summer, zucchini, italian style, canned",6.85,75.0,1.03,0.11
"Squash, winter, acorn, cooked, baked, with salt",14.58,145.0,1.12,0.14
"Squash, winter, acorn, cooked, baked, without salt",14.58,145.0,1.12,0.14
"Squash, winter, acorn, cooked, boiled, mashed, with salt",8.79,87.5,0.67,0.08
"Squash, winter, acorn, cooked, boiled, mashed, without salt",8.79,87.5,0.67,0.08
"Squash, winter, acorn, raw",10.42,103.5,0.8,0.1
"Squash, winter, all varieties, cooked, baked, with salt",8.85,95.5,0.89,0.35
"Squash, winter, all varieties, cooked, baked, without salt",8.85,95.5,0.89,0.35
"Squash, winter, all varieties, raw",8.59,88.5,0.95,0.13
"Squash, winter, butternut, cooked, baked, with salt",10.49,103.5,0.9,0.09
"Squash, winter, butternut, cooked, baked, without salt",10.49,103.5,0.9,0.09
"Squash, winter, butternut, frozen, cooked, boiled, with salt",10.04,102.0,1.23,0.07
"Squash, winter, butternut, frozen, cooked, boiled, without salt",10.05,101.0,1.23,0.07
"Squash, winter, butternut, frozen, unprepared",14.41,147.0,1.76,0.1
"Squash, winter, butternut, raw",11.69,116.5,1.0,0.1
"Squash, winter, hubbard, baked, with salt",10.81,129.5,2.48,0.62
"Squash, winter, hubbard, baked, without salt",10.81,129.5,2.48,0.62
"Squash, winter, hubbard, cooked, boiled, mashed, with salt",6.46,77.5,1.48,0.37
"Squash, winter, hubbard, cooked, boiled, mashed, without salt",6.46,77.5,1.48,0.37
"Squash, winter, hubbard, raw",8.7,103.5,2.0,0.5
"Squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt",6.46,70.0,0.66,0.26
"Squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt",6.46,70.0,0.66,0.26
"Squash, winter, spaghetti, raw",6.91,80.5,0.64,0.57
"Squash, zucchini, baby, raw",3.11,54.5,2.71,0.4
"Squirrel, ground, meat (Alaska Native)",0.0,288.5,19.3,3.8
"Steelhead trout, boiled, canned (Alaska Native)",0.0,411.5,21.11,8.26
"Steelhead trout, dried, flesh (Shoshone Bannock)",0.0,989.5,77.27,8.06
"Stew, dumpling with mutton (Navajo)",8.03,261.5,8.71,3.78
"Stew, hominy with mutton (Navajo)",9.38,215.0,6.71,2.06
"Stew, moose (Alaska Native)",6.0,142.5,6.6,0.5
"Stew, mutton, corn, squash (Navajo)",7.27,266.5,8.62,4.34
"Stew, pinto bean and hominy, badufsuki (Hopi)",5.38,83.0,1.42,0.54
"Stew, steamed corn (Navajo)",10.8,291.0,8.82,3.75
"Stew/soup, caribou (Alaska Native)",4.8,105.5,3.8,0.7
"Stinging Nettles, blanched (Northern Plains Indians)",7.49,108.5,2.71,0.11
"Strawberries, canned, heavy syrup pack, solids and liquids",23.53,238.5,0.56,0.26
"Strawberries, frozen, sweetened, sliced",25.92,249.0,0.53,0.13
"Strawberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",9.13,90.5,0.43,0.11
"Strawberries, raw",7.68,84.0,0.67,0.3
"Strawberry-flavor beverage mix, powder",99.1,1007.5,0.1,0.2
"Strudel, apple",41.1,710.0,3.3,11.2
"Succotash, (corn and limas), canned, with cream style corn",17.61,199.5,2.64,0.54
"Succotash, (corn and limas), canned, with whole kernel corn, solids and liquids",13.98,163.5,2.6,0.49
"Succotash, (corn and limas), cooked, boiled, drained, with salt",24.37,287.5,5.07,0.8
"Succotash, (corn and limas), cooked, boiled, drained, without salt",24.38,298.0,5.07,0.8
"Succotash, (corn and limas), frozen, cooked, boiled, drained, with salt",19.95,241.0,4.31,0.89
"Succotash, (corn and limas), frozen, cooked, boiled, drained, without salt",19.95,241.0,4.31,0.89
"Succotash, (corn and limas), frozen, unprepared",19.94,241.0,4.31,0.89
"Succotash, (corn and limas), raw",19.59,256.5,5.03,1.02
"Sugar, turbinado",99.8,1034.5,0.0,0.0
"Sugar-apples, (sweetsop), raw",23.64,243.5,2.06,0.29
"Sugars, brown",98.09,985.0,0.12,0.0
"Sugars, granulated",99.98,1002.5,0.0,0.0
"Sugars, maple",90.9,917.5,0.1,0.2
"Sugars, powdered",99.77,1008.0,0.0,0.0
"Sweet Potato puffs, frozen, unprepared",30.72,416.5,1.36,3.58
"Sweet Potatoes, french fried, crosscut, frozen, unprepared",25.52,541.5,1.7,11.1
"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",35.58,472.0,2.16,8.92
"Sweet potato leaves, cooked, steamed, with salt",7.38,89.5,2.18,0.34
"Sweet potato leaves, cooked, steamed, without salt",7.38,89.5,2.18,0.34
"Sweet potato leaves, raw",8.82,108.5,2.49,0.51
"Sweet potato, canned, mashed",23.19,261.0,1.98,0.2
"Sweet potato, canned, syrup pack, drained solids",25.36,281.0,1.28,0.32
"Sweet potato, canned, syrup pack, solids and liquids",20.93,230.5,0.98,0.2
"Sweet potato, canned, vacuum pack",21.12,236.5,1.65,0.2
"Sweet potato, cooked, baked in skin, flesh, with salt",20.71,234.0,2.01,0.15
"Sweet potato, cooked, baked in skin, flesh, without salt",20.71,234.0,2.01,0.15
"Sweet potato, cooked, boiled, without skin",17.72,198.0,1.37,0.14
"Sweet potato, cooked, boiled, without skin, with salt",17.72,198.0,1.37,0.14
"Sweet potato, cooked, candied, home-prepared",32.12,425.0,0.89,3.54
"Sweet potato, frozen, cooked, baked, with salt",23.4,259.5,1.71,0.12
"Sweet potato, frozen, cooked, baked, without salt",23.4,259.5,1.71,0.12
"Sweet potato, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",22.22,248.5,1.71,0.18
"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",20.12,222.5,1.57,0.05
"Sweet rolls, cheese",43.7,933.0,7.1,18.3
"Sweet rolls, cinnamon, commercially prepared with raisins",50.9,964.0,6.2,16.4
"Sweet rolls, cinnamon, refrigerated dough with frosting",51.6,863.0,5.0,12.2
"Sweet rolls, cinnamon, refrigerated dough with frosting, baked",56.1,938.5,5.4,13.2
"Sweetener, herbal extract powder from Stevia leaf",100.0,0.0,0.0,0.0
"Sweetener, syrup, agave",76.37,803.5,0.09,0.45
"Sweeteners, for baking, brown, contains sugar and sucralose",97.11,1006.5,0.0,0.0
"Sweeteners, for baking, contains sugar and sucralose",99.53,1032.0,0.0,0.0
"Sweeteners, sugar substitute, granulated, brown",84.77,900.0,2.06,0.0
"Sweeteners, tabletop, aspartame, EQUAL, packets",89.08,946.0,2.17,0.0
"Sweeteners, tabletop, fructose, dry, powder",100.0,954.0,0.0,0.0
"Sweeteners, tabletop, fructose, liquid",76.1,722.0,0.0,0.0
"Sweeteners, tabletop, saccharin (sodium saccharin)",89.11,933.5,0.94,0.0
"Sweeteners, tabletop, sucralose, SPLENDA packets",91.17,870.0,0.0,0.0
"Swisswurst, pork and beef, with swiss cheese, smoked",1.6,796.5,12.69,27.37
"Syrup, Cane",73.14,697.5,0.0,0.0
"Syrup, NESTLE, chocolate",67.21,697.0,0.0,0.0
"Syrup, fruit flavored",65.1,675.5,0.0,0.02
"Syrup, maple, Canadian",67.38,699.0,0.0,0.0
"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup",34.56,395.5,1.4,0.97
"Syrups, chocolate, HERSHEY'S Sugar free, Genuine Chocolate Flavored, Lite Syrup",14.2,111.0,2.87,2.03
"Syrups, chocolate, fudge-type",62.9,907.5,4.6,8.9
"Syrups, corn, dark",77.59,740.5,0.0,0.0
"Syrups, corn, high-fructose",76.0,728.5,0.0,0.0
"Syrups, corn, light",76.79,732.5,0.0,0.2
"Syrups, grenadine",66.91,694.0,0.0,0.0
"Syrups, malt",71.3,824.5,6.2,0.0
"Syrups, maple",67.04,674.0,0.04,0.06
"Syrups, sorghum",74.9,751.5,0.0,0.0
"Syrups, sugar free",11.99,132.5,0.8,0.0
"Syrups, table blends, corn, refiner, and sugar",83.9,827.0,0.0,0.0
"Syrups, table blends, pancake",61.47,605.5,0.0,0.0
"Syrups, table blends, pancake, reduced-calorie",44.55,427.5,0.0,0.0
"Syrups, table blends, pancake, with 2% maple",69.6,687.0,0.0,0.1
"Syrups, table blends, pancake, with 2% maple, with added potassium",69.6,687.0,0.0,0.1
"Syrups, table blends, pancake, with butter",72.43,753.5,0.0,0.09
"T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded",20.87,783.0,11.87,19.02
"T.G.I. FRIDAY'S, chicken fingers",16.84,842.0,18.68,20.31
"T.G.I. FRIDAY'S, chicken fingers, from kids' menu",17.72,856.0,18.11,20.78
"T.G.I. FRIDAY'S, classic sirloin steak (10 oz)",0.47,509.0,31.02,7.83
"T.G.I. FRIDAY'S, french fries",36.9,767.0,3.74,14.82
"T.G.I. FRIDAY'S, fried mozzarella",25.33,864.0,15.82,18.76
"T.G.I. FRIDAY'S, macaroni & cheese, from kid's menu",17.4,313.0,5.03,3.45
"TACO BELL, BURRITO SUPREME with beef",23.37,474.0,7.03,6.8
"TACO BELL, BURRITO SUPREME with chicken",20.51,464.5,9.84,6.42
"TACO BELL, BURRITO SUPREME with steak",20.32,475.0,9.13,7.27
"TACO BELL, Bean Burrito",31.23,541.0,7.35,6.05
"TACO BELL, Nachos",34.91,908.0,4.32,21.5
"TACO BELL, Nachos Supreme",21.39,577.5,6.21,12.48
"TACO BELL, Original Taco with beef, cheese and lettuce",19.85,594.0,8.86,12.7
"TACO BELL, Soft Taco with beef, cheese and lettuce",20.23,533.0,9.25,9.75
"TACO BELL, Soft Taco with chicken, cheese and lettuce",19.69,490.0,13.3,6.35
"TACO BELL, Soft Taco with steak",17.22,583.0,11.81,12.1
"TACO BELL, Taco Salad",15.1,440.0,6.69,9.17
"Taco shells, baked",63.49,1233.5,6.41,21.79
"Taco shells, baked, without added salt",62.4,1213.0,7.2,22.6
Tamales (Navajo),18.12,396.0,6.28,6.12
"Tamales, masa and pork filling (Hopi)",18.28,436.0,13.19,4.7
"Tamarind nectar, canned",14.73,148.5,0.09,0.12
"Tamarinds, raw",62.5,619.5,2.8,0.6
"Tangerine juice, raw",10.1,111.5,0.5,0.2
"Tangerines, (mandarin oranges), canned, juice pack",9.57,96.0,0.62,0.03
"Tangerines, (mandarin oranges), canned, juice pack, drained",9.41,98.0,0.75,0.04
"Tangerines, (mandarin oranges), canned, light syrup pack",16.19,158.0,0.45,0.1
"Tangerines, (mandarin oranges), raw",13.34,138.0,0.81,0.31
"Tapioca, pearl, dry",88.69,928.0,0.19,0.02
"Taquitos, frozen, beef and cheese, oven-heated",33.46,743.0,9.4,12.79
"Taquitos, frozen, chicken and cheese, oven-heated",33.63,736.5,9.21,12.54
"Taro leaves, cooked, steamed, without salt",4.02,62.0,2.72,0.41
"Taro leaves, raw",6.7,109.5,4.98,0.74
"Taro shoots, cooked, without salt",3.2,36.5,0.73,0.08
"Taro shoots, raw",2.32,28.5,0.92,0.09
"Taro, cooked, with salt",34.6,368.0,0.52,0.11
"Taro, cooked, without salt",34.6,368.0,0.52,0.11
"Taro, leaves, cooked, steamed, with salt",3.89,62.0,2.72,0.41
"Taro, raw",26.46,290.5,1.5,0.2
"Taro, shoots, cooked, with salt",3.19,36.0,0.73,0.08
"Taro, tahitian, cooked, with salt",6.85,113.0,4.16,0.68
"Taro, tahitian, cooked, without salt",6.85,114.0,4.16,0.68
"Taro, tahitian, raw",6.91,114.0,2.79,0.97
"Tart, breakfast, low fat",76.8,964.0,3.99,5.99
"Tea, herbal, brewed, Hohoysi (Hopi)",0.0,6.0,0.12,0.2
"Tea, tundra, herb and laborador combination (Alaska Native)",0.2,2.0,0.0,0.0
"Teff, cooked",19.86,261.5,3.87,0.65
"Teff, uncooked",73.13,951.5,13.3,2.38
Tempeh,7.64,497.5,20.29,10.8
"Tempeh, cooked",7.62,506.0,19.91,11.38
"Tennis Bread, plain (Apache)",53.26,670.0,9.0,1.05
"Thuringer, cervelat, summer sausage, beef, pork",3.33,938.0,17.45,30.43
"Thyme, fresh",24.45,262.0,5.56,1.68
"Toaster Pastries, fruit, frosted (include apples, blueberry, cherry, strawberry)",71.83,997.0,4.01,9.02
"Toaster pastries, brown-sugar-cinnamon",72.64,959.5,4.06,7.98
"Toaster pastries, fruit (includes apple, blueberry, cherry, strawberry)",70.32,1005.0,4.2,9.95
"Toaster pastries, fruit, toasted (include apple, blueberry, cherry, strawberry)",72.7,1060.0,4.7,11.03
"Toddler drink, MEAD JOHNSON, PurAmino Toddler Powder, with ARA and DHA, not reconstituted",55.68,1328.0,13.9,26.0
"Toddler formula, MEAD JOHNSON, ENFAGROW PREMIUM (formerly ENFAMIL, LIPIL, NEXT STEP), ready-to-feed",7.18,166.0,1.78,3.63
"Toddler formula, MEAD JOHNSON, ENFAGROW, Toddler Transitions, with ARA and DHA, powder",52.8,1309.0,12.9,26.9
"Toddler formula, MEAD JOHNSON, Nutramigen Toddler with LGG Powder, with ARA and DHA, not reconstituted",61.97,1257.0,12.0,21.0
Tofu yogurt,15.96,244.0,3.5,1.8
"Tofu, dried-frozen (koyadofu)",10.03,1236.0,52.47,30.34
"Tofu, dried-frozen (koyadofu), prepared with calcium sulfate",8.3,1217.5,52.43,30.34
"Tofu, extra firm, prepared with nigari",1.18,216.0,9.98,5.26
"Tofu, firm, prepared with calcium sulfate and magnesium chloride (nigari)",2.85,202.0,9.04,4.17
"Tofu, fried",8.86,700.5,18.82,20.18
"Tofu, fried, prepared with calcium sulfate",8.86,700.5,18.82,20.18
"Tofu, hard, prepared with nigari",4.39,377.0,12.68,9.99
"Tofu, raw, firm, prepared with calcium sulfate",2.78,373.5,17.27,8.72
"Tofu, raw, regular, prepared with calcium sulfate",1.87,196.5,8.08,4.78
"Tofu, salted and fermented (fuyu)",4.38,300.0,8.92,8.0
"Tofu, salted and fermented (fuyu), prepared with calcium sulfate",5.15,300.5,8.15,8.0
"Tofu, soft, prepared with calcium sulfate and magnesium chloride (nigari)",1.18,157.0,7.17,3.69
"Tomatillos, raw",5.84,82.5,0.96,1.02
"Tomato and vegetable juice, low sodium",4.59,56.5,0.6,0.1
"Tomato juice, canned, with salt added",3.53,44.5,0.85,0.29
"Tomato juice, canned, without salt added",3.53,44.5,0.85,0.29
Tomato powder,74.68,782.5,12.91,0.44
"Tomato products, canned, paste, without salt added (Includes foods for USDA's Food Distribution Program)",18.91,212.5,4.32,0.47
"Tomato products, canned, puree, with salt added",8.98,98.0,1.65,0.21
"Tomato products, canned, puree, without salt added",8.98,98.0,1.65,0.21
"Tomato products, canned, sauce",5.31,63.0,1.2,0.3
"Tomato products, canned, sauce, spanish style",7.24,85.5,1.44,0.27
"Tomato products, canned, sauce, with herbs and cheese",10.24,153.0,2.13,1.93
"Tomato products, canned, sauce, with mushrooms",8.43,90.5,1.45,0.13
"Tomato products, canned, sauce, with onions",9.94,109.0,1.56,0.19
"Tomato products, canned, sauce, with onions, green peppers, and celery",8.77,106.0,0.94,0.74
"Tomato products, canned, sauce, with tomato tidbits",7.09,83.0,1.32,0.39
"Tomato sauce, canned, no salt added",5.31,63.0,1.2,0.3
"Tomatoes, crushed, canned",7.29,83.0,1.64,0.28
"Tomatoes, green, raw",5.1,59.0,1.2,0.2
"Tomatoes, orange, raw",3.18,41.5,1.16,0.19
"Tomatoes, red, ripe, canned, packed in tomato juice",3.47,42.5,0.79,0.25
"Tomatoes, red, ripe, canned, packed in tomato juice, no salt added",3.47,42.5,0.79,0.25
"Tomatoes, red, ripe, canned, stewed",6.19,67.0,0.91,0.19
"Tomatoes, red, ripe, canned, with green chilies",3.62,39.0,0.69,0.08
"Tomatoes, red, ripe, cooked",4.01,45.5,0.95,0.11
"Tomatoes, red, ripe, cooked, stewed",13.05,205.0,1.96,2.68
"Tomatoes, red, ripe, cooked, with salt",4.01,45.5,0.95,0.11
"Tomatoes, red, ripe, raw, year round average",3.89,46.0,0.88,0.2
"Tomatoes, sun-dried",55.76,668.5,14.11,2.97
"Tomatoes, sun-dried, packed in oil, drained",23.33,552.0,5.06,14.08
"Tomatoes, yellow, raw",2.98,39.0,0.98,0.26
"Topping, SMUCKER'S MAGIC SHELL",50.07,1578.5,2.94,44.1
"Toppings, butterscotch or caramel",57.01,560.0,1.21,0.0
"Toppings, marshmallow cream",79.0,834.5,0.8,0.3
"Toppings, nuts in syrup",58.08,1162.0,4.5,22.0
"Toppings, pineapple",66.4,656.0,0.1,0.1
"Toppings, strawberry",66.3,658.5,0.2,0.1
"Tortellini, pasta with cheese filling, fresh-refrigerated, as purchased",47.0,795.5,13.5,7.23
"Tortilla chips, low fat, baked without fat",80.2,1161.5,11.0,5.7
"Tortilla chips, yellow, plain, salted",67.38,1288.5,6.62,22.33
"Tortilla, blue corn, Sakwavikaviki (Hopi)",58.12,716.0,7.83,1.4
"Tortilla, includes plain and from mutton sandwich (Navajo)",49.94,615.0,7.28,0.95
"Tortillas, ready-to-bake or -fry, corn",44.64,565.0,5.7,2.85
"Tortillas, ready-to-bake or -fry, corn, without added salt",46.6,575.5,5.7,2.5
"Tortillas, ready-to-bake or -fry, flour, refrigerated",49.38,792.5,8.2,7.99
"Tortillas, ready-to-bake or -fry, flour, shelf stable",49.27,770.5,8.01,7.58
"Tortillas, ready-to-bake or -fry, flour, without added calcium",55.6,842.5,8.7,7.1
"Tortillas, ready-to-bake or -fry, whole wheat",45.89,804.5,9.76,9.76
"Tostada shells, corn",64.43,1228.5,6.15,23.38
"Tree fern, cooked, with salt",10.78,103.0,0.29,0.07
"Tree fern, cooked, without salt",10.98,103.5,0.29,0.07
Triticale,72.13,871.0,13.05,2.09
"Triticale flour, whole-grain",73.14,876.0,13.18,1.81
"Turkey Pot Pie, frozen entree",17.7,456.0,6.5,8.8
"Turkey and gravy, frozen",4.61,173.5,5.88,2.63
"Turkey breast, low salt, prepackaged or deli, luncheon meat",3.51,282.0,21.81,0.83
"Turkey breast, pre-basted, meat and skin, cooked, roasted",0.0,326.5,22.16,3.46
"Turkey breast, sliced, prepackaged",2.2,274.0,14.81,3.77
"Turkey from whole, light meat, meat and skin, with added solution, cooked, roasted",0.0,406.5,26.52,5.64
"Turkey from whole, light meat, meat and skin, with added solution, raw",0.14,381.0,20.02,7.42
"Turkey from whole, light meat, meat only, with added solution, cooked, roasted",0.0,328.5,26.97,2.08
"Turkey from whole, light meat, meat only, with added solution, raw",0.0,262.0,21.54,1.66
"Turkey roast, boneless, frozen, seasoned, light and dark meat, raw",6.4,311.0,17.6,2.2
"Turkey sticks, breaded, battered, fried",17.0,723.0,14.2,16.9
"Turkey thigh, pre-basted, meat and skin, cooked, roasted",0.0,407.0,18.8,8.54
"Turkey, Ground, cooked",0.0,526.5,27.37,10.4
"Turkey, Ground, raw",0.0,383.0,19.66,7.66
"Turkey, all classes, back, meat and skin, cooked, roasted",0.16,632.0,26.59,14.38
"Turkey, all classes, breast, meat and skin, cooked, roasted",0.0,490.0,28.71,7.41
"Turkey, all classes, breast, meat and skin, raw",0.0,407.0,21.89,7.02
"Turkey, all classes, gizzard, cooked, simmered",0.0,401.5,26.45,4.64
"Turkey, all classes, heart, cooked, simmered",0.0,451.0,24.88,7.52
"Turkey, all classes, heart, raw",0.4,363.0,16.7,7.44
"Turkey, all classes, leg, meat and skin, cooked, roasted",0.0,539.0,27.87,9.82
"Turkey, all classes, leg, meat and skin, raw",0.0,373.0,19.54,6.72
"Turkey, all classes, light meat, cooked, roasted",0.0,382.0,30.13,2.08
"Turkey, all classes, liver, cooked, simmered",0.0,490.0,27.0,8.18
"Turkey, all classes, liver, raw",0.0,331.0,18.26,5.5
"Turkey, all classes, wing, meat and skin, cooked, roasted",0.0,593.5,27.38,12.43
"Turkey, all classes, wing, meat and skin, raw",0.0,510.5,20.22,12.32
"Turkey, back, from whole bird, meat and skin, with added solution, raw",0.15,535.0,16.86,15.41
"Turkey, back, from whole bird, meat and skin, with added solution, roasted",0.0,532.5,25.8,11.36
"Turkey, back, from whole bird, meat only, with added solution, raw",0.15,297.5,19.27,4.12
"Turkey, back, from whole bird, meat only, with added solution, roasted",0.0,328.5,26.97,2.08
"Turkey, breast, from whole bird, meat only, with added solution, raw",0.14,263.5,21.54,1.66
"Turkey, breast, from whole bird, meat only, with added solution, roasted",0.0,328.5,26.97,2.08
"Turkey, breast, smoked, lemon pepper flavor, 97% fat-free",1.31,246.5,20.9,0.69
"Turkey, canned, meat only, with broth",1.47,437.5,23.68,6.86
"Turkey, dark meat from whole, meat and skin, with added solution, cooked, roasted",0.0,517.0,25.55,10.81
"Turkey, dark meat from whole, meat and skin, with added solution, raw",0.15,438.0,17.84,10.83
"Turkey, dark meat from whole, meat only, with added solution, raw",0.1,297.0,19.27,4.12
"Turkey, dark meat, meat and skin, raw",0.15,430.5,19.81,8.97
"Turkey, dark meat, meat only, with added solution, cooked, roasted",0.0,410.5,26.1,6.0
